"lang" { 
"GameUI_Language_Polish"				"Polonais"
"[english]GameUI_Language_Polish"				"Polish"
"GameUI_Language_Danish"				"Danois"
"[english]GameUI_Language_Danish"				"Danish"
"GameUI_Language_Dutch"					"Néerlandais"
"[english]GameUI_Language_Dutch"					"Dutch"
"GameUI_Language_Finnish"				"Finnois"
"[english]GameUI_Language_Finnish"				"Finnish"
"GameUI_Language_Norwegian"				"Norvégien"
"[english]GameUI_Language_Norwegian"				"Norwegian"
"GameUI_Language_Swedish"				"Suédois"
"[english]GameUI_Language_Swedish"				"Swedish"

"GameUI_LoadDialog_Hr_Min"		"%s1 hr %s2 min"
"[english]GameUI_LoadDialog_Hr_Min"		"%s1 hr %s2 min"
"GameUI_LoadDialog_Min_Sec"	"%s1 min %s2 sec"
"[english]GameUI_LoadDialog_Min_Sec"	"%s1 min %s2 sec"
"GameUI_LoadDialog_Sec"		"%s1 secondes"
"[english]GameUI_LoadDialog_Sec"		"%s1 seconds"

"GameUI_DisableSprays"		"Désactiver les graffitis"
"[english]GameUI_DisableSprays"		"Disable Sprays"
"GameUI_FOV"			"Champ de vision"
"[english]GameUI_FOV"			"Field of view"
"GameUI_EnableHUDMinMode"	"Activer mini HUD"
"[english]GameUI_EnableHUDMinMode"	"Enable Minimal HUD"

"GameUI_DownloadFilter_Title"		"Lorsqu'un serveur de jeu essaie de télécharger
du contenu personnalisé sur votre ordinateur"
"[english]GameUI_DownloadFilter_Title"		"When a game server tries to download
custom content to your computer"
"GameUI_DownloadFilter_ALL"		"Autoriser les fichiers personnalisés du serveur"
"[english]GameUI_DownloadFilter_ALL"		"Allow all custom files from server"
"GameUI_DownloadFilter_NoSounds"	"Ne pas télécharger les fichiers audio personnalisés"
"[english]GameUI_DownloadFilter_NoSounds"	"Do not download custom sounds"
"GameUI_DownloadFilter_None"		"Ne pas télécharger de fichier personnalisé"
"[english]GameUI_DownloadFilter_None"		"Do not download any custom files"

"GameUI_GameMenu_CharacterSetup"	"INFO ET CONFIGURATION PERSO"
"[english]GameUI_GameMenu_CharacterSetup"	"CHARACTER INFO AND SETUP"

"GameUI_CustomTab_Title"			"Serveurs personnalisés"
"[english]GameUI_CustomTab_Title"			"Custom Servers"
"GameUI_CustomTab_Explanation"		"Le navigateur des serveurs dispose d'un nouvel onglet en haut de la fenêtre destiné aux serveurs personnalisés."
"[english]GameUI_CustomTab_Explanation"		"The server browser has a new tab at the top of the window called 'Custom'"
"GameUI_CustomTab_Explanation2"		"Les serveurs répertoriés dans cet onglet ont été modifiés par les membres de la communauté pour proposer une expérience de jeu différente de celle par défaut. Si vous souhaitez jouer à des versions modifiées de %game%, essayez donc de cliquer sur cet onglet !"
"[english]GameUI_CustomTab_Explanation2"		"Servers listed there have been modified by members of the community to change the default game experience. Try clicking the custom tab if you want to play modified versions of %game%."
"GameUI_CustomTab_Explanation3"		"Pour en savoir plus sur les serveurs personnalisés, cliquez sur le lien suivant (le lien s'ouvrira dans votre navigateur Internet par défaut)"
"[english]GameUI_CustomTab_Explanation3"		"You can click the following link to read more about custom servers (link will open your default web browser)"
"GameUI_CustomTab_Link"				"Plus d'informations sur les serveurs personnalisés"
"[english]GameUI_CustomTab_Link"				"More information about custom servers"

} 
}
